356371:8062,41:41,07/28/22 16:46:33,STABLE BEAMS,6800,121866.055851219,80163.470733129,38.2,BCM1F
356371:8062,42:42,07/28/22 16:46:57,STABLE BEAMS,6800,121765.891764691,110282.419231891,38.2,BCM1F
356371:8062,43:43,07/28/22 16:47:20,STABLE BEAMS,6800,121654.345024749,113126.961336763,38.1,BCM1F
356371:8062,44:44,07/28/22 16:47:43,STABLE BEAMS,6800,121552.192528767,112125.837970771,38.1,BCM1F
356371:8062,45:45,07/28/22 16:48:07,STABLE BEAMS,6800,121432.927589879,110783.577670830,38.1,BCM1F
356371:8062,46:46,07/28/22 16:48:30,STABLE BEAMS,6800,121307.755699578,107881.649090076,38.0,BCM1F
356371:8062,47:47,07/28/22 16:48:53,STABLE BEAMS,6800,121158.263673488,112161.622347701,38.0,BCM1F
356371:8062,48:48,07/28/22 16:49:17,STABLE BEAMS,6800,121048.656390363,110484.181017860,38.0,BCM1F
356371:8062,49:49,07/28/22 16:49:40,STABLE BEAMS,6800,120864.524546594,104699.618188177,37.9,BCM1F
356371:8062,50:50,07/28/22 16:50:03,STABLE BEAMS,6800,120690.010730264,112627.178233788,37.8,BCM1F
356371:8062,51:51,07/28/22 16:50:26,STABLE BEAMS,6800,120523.681328461,76608.530305427,37.8,BCM1F
356371:8062,52:52,07/28/22 16:50:50,STABLE BEAMS,6800,120370.888496056,78942.536044945,37.7,BCM1F
356371:8062,53:53,07/28/22 16:51:13,STABLE BEAMS,6800,120198.302481154,79942.279412816,37.7,BCM1F
356371:8062,54:54,07/28/22 16:51:36,STABLE BEAMS,6800,119991.978775723,79620.634952314,37.6,BCM1F
356371:8062,55:55,07/28/22 16:52:00,STABLE BEAMS,6800,119847.778296479,82012.262606583,37.6,BCM1F
356371:8062,56:56,07/28/22 16:52:23,STABLE BEAMS,6800,119734.184870136,80138.542186006,37.5,BCM1F
356371:8062,57:57,07/28/22 16:52:46,STABLE BEAMS,6800,119566.177092240,81446.109053477,37.5,BCM1F
356371:8062,58:58,07/28/22 16:53:10,STABLE BEAMS,6800,119518.560163861,79397.720965429,37.4,BCM1F
356371:8062,59:59,07/28/22 16:53:33,STABLE BEAMS,6800,119444.968034379,73529.008554429,37.4,BCM1F
356371:8062,60:60,07/28/22 16:53:56,STABLE BEAMS,6800,119396.178573814,79062.975847097,37.4,BCM1F
356371:8062,61:61,07/28/22 16:54:20,STABLE BEAMS,6800,119350.358906500,55458.830635982,37.4,BCM1F
356371:8062,62:62,07/28/22 16:54:43,STABLE BEAMS,6800,119298.103133088,82270.849078659,37.4,BCM1F
356371:8062,63:63,07/28/22 16:55:06,STABLE BEAMS,6800,119242.227195690,59202.350604098,37.4,BCM1F
356371:8062,64:64,07/28/22 16:55:29,STABLE BEAMS,6800,119200.407658062,83555.221720968,37.4,BCM1F
356371:8062,65:65,07/28/22 16:55:53,STABLE BEAMS,6800,119006.492280323,79533.345409059,37.3,BCM1F
356371:8062,66:66,07/28/22 16:56:16,STABLE BEAMS,6800,118375.166451131,81481.257046139,37.1,BCM1F
356371:8062,67:67,07/28/22 16:56:39,STABLE BEAMS,6800,118362.096097314,82781.481018207,37.1,BCM1F
356371:8062,68:68,07/28/22 16:57:03,STABLE BEAMS,6800,117646.564740935,85257.216294390,37.1,BCM1F
356371:8062,69:69,07/28/22 16:57:26,STABLE BEAMS,6800,115773.030806591,83058.422397712,35.5,BCM1F
356371:8062,70:70,07/28/22 16:57:49,STABLE BEAMS,6800,112840.208450353,84038.470488358,34.6,BCM1F
356371:8062,71:71,07/28/22 16:58:13,STABLE BEAMS,6800,105220.042986007,90252.040233645,37.0,BCM1F
356371:8062,72:72,07/28/22 16:58:36,STABLE BEAMS,6800,97937.051623171,69882.482406891,36.9,BCM1F
