280349:5287,27:27,09/08/16 14:37:28,STABLE BEAMS,6500,206083.717,201034.534,28.5,PXL
280349:5287,27:27,09/08/16 14:37:28,STABLE BEAMS,6500,190484.802,185817.802,26.3,PXL
280349:5287,28:28,09/08/16 14:37:52,STABLE BEAMS,6500,206234.239,201484.773,28.5,PXL
280349:5287,28:28,09/08/16 14:37:52,STABLE BEAMS,6500,190629.537,186239.439,26.4,PXL
280349:5287,29:29,09/08/16 14:38:15,STABLE BEAMS,6500,206221.226,201130.736,28.5,PXL
280349:5287,29:29,09/08/16 14:38:15,STABLE BEAMS,6500,190633.080,185927.377,26.4,PXL
280349:5287,30:30,09/08/16 14:38:38,STABLE BEAMS,6500,205869.494,200804.529,28.5,PXL
280349:5287,30:30,09/08/16 14:38:38,STABLE BEAMS,6500,190317.508,185635.166,26.3,PXL
280349:5287,31:31,09/08/16 14:39:02,STABLE BEAMS,6500,206210.255,201415.087,28.5,PXL
280349:5287,31:31,09/08/16 14:39:02,STABLE BEAMS,6500,190638.511,186205.445,26.4,PXL
280349:5287,32:32,09/08/16 14:39:25,STABLE BEAMS,6500,206291.520,201269.992,28.5,PXL
280349:5287,32:32,09/08/16 14:39:25,STABLE BEAMS,6500,190709.037,186066.816,26.4,PXL
280349:5287,33:33,09/08/16 14:39:48,STABLE BEAMS,6500,206290.436,201555.441,28.5,PXL
280349:5287,33:33,09/08/16 14:39:48,STABLE BEAMS,6500,190703.761,186326.527,26.4,PXL
280349:5287,34:34,09/08/16 14:40:12,STABLE BEAMS,6500,205551.647,200092.502,28.4,PXL
280349:5287,34:34,09/08/16 14:40:12,STABLE BEAMS,6500,190003.979,184957.756,26.3,PXL
280349:5287,35:35,09/08/16 14:40:35,STABLE BEAMS,6500,205690.053,200969.899,28.4,PXL
280349:5287,35:35,09/08/16 14:40:35,STABLE BEAMS,6500,190152.829,185789.221,26.3,PXL
280349:5287,36:36,09/08/16 14:40:58,STABLE BEAMS,6500,205380.717,191721.690,28.4,PXL
280349:5287,36:36,09/08/16 14:40:58,STABLE BEAMS,6500,189866.517,177239.276,26.3,PXL
280349:5287,37:37,09/08/16 14:41:22,STABLE BEAMS,6500,205921.328,189392.126,28.5,PXL
280349:5287,37:37,09/08/16 14:41:22,STABLE BEAMS,6500,190357.134,175077.262,26.3,PXL
280349:5287,38:38,09/08/16 14:41:45,STABLE BEAMS,6500,205744.797,201010.062,28.4,PXL
280349:5287,38:38,09/08/16 14:41:45,STABLE BEAMS,6500,190205.344,185828.214,26.3,PXL
280349:5287,39:39,09/08/16 14:42:08,STABLE BEAMS,6500,205852.582,201171.878,28.5,PXL
280349:5287,39:39,09/08/16 14:42:08,STABLE BEAMS,6500,190287.506,185960.723,26.3,PXL
280349:5287,40:40,09/08/16 14:42:32,STABLE BEAMS,6500,205638.048,200641.395,28.4,PXL
280349:5287,40:40,09/08/16 14:42:32,STABLE BEAMS,6500,190083.108,185464.413,26.3,PXL
280349:5287,41:41,09/08/16 14:42:55,STABLE BEAMS,6500,205259.037,200500.365,28.4,PXL
280349:5287,41:41,09/08/16 14:42:55,STABLE BEAMS,6500,189743.274,185344.315,26.2,PXL
280349:5287,42:42,09/08/16 14:43:18,STABLE BEAMS,6500,205496.610,200472.010,28.4,PXL
280349:5287,42:42,09/08/16 14:43:18,STABLE BEAMS,6500,189966.813,185321.932,26.3,PXL
280349:5287,43:43,09/08/16 14:43:42,STABLE BEAMS,6500,205336.990,185804.244,28.4,PXL
280349:5287,43:43,09/08/16 14:43:42,STABLE BEAMS,6500,189810.690,171754.888,26.2,PXL
280349:5287,44:44,09/08/16 14:44:05,STABLE BEAMS,6500,205320.976,199760.811,28.4,PXL
280349:5287,44:44,09/08/16 14:44:05,STABLE BEAMS,6500,189813.893,184673.665,26.2,PXL
280349:5287,45:45,09/08/16 14:44:28,STABLE BEAMS,6500,205597.494,200887.677,28.4,PXL
280349:5287,45:45,09/08/16 14:44:28,STABLE BEAMS,6500,190057.376,185703.552,26.3,PXL
280349:5287,46:46,09/08/16 14:44:51,STABLE BEAMS,6500,205105.004,200174.248,28.4,PXL
280349:5287,46:46,09/08/16 14:44:51,STABLE BEAMS,6500,189590.231,185032.453,26.2,PXL
280349:5287,47:47,09/08/16 14:45:15,STABLE BEAMS,6500,204513.193,199718.510,28.3,PXL
280349:5287,47:47,09/08/16 14:45:15,STABLE BEAMS,6500,189051.863,184619.662,26.1,PXL
280349:5287,48:48,09/08/16 14:45:38,STABLE BEAMS,6500,205919.580,201164.028,28.5,PXL
280349:5287,48:48,09/08/16 14:45:38,STABLE BEAMS,6500,190353.870,185957.796,26.3,PXL
280349:5287,49:49,09/08/16 14:46:01,STABLE BEAMS,6500,205033.983,200368.435,28.4,PXL
280349:5287,49:49,09/08/16 14:46:01,STABLE BEAMS,6500,189520.602,185208.061,26.2,PXL
280349:5287,50:50,09/08/16 14:46:25,STABLE BEAMS,6500,204867.354,200146.368,28.3,PXL
280349:5287,50:50,09/08/16 14:46:25,STABLE BEAMS,6500,189371.118,185007.229,26.2,PXL
280349:5287,51:51,09/08/16 14:46:48,STABLE BEAMS,6500,204602.394,199321.782,28.3,PXL
280349:5287,51:51,09/08/16 14:46:48,STABLE BEAMS,6500,189114.235,184233.359,26.2,PXL
280349:5287,52:52,09/08/16 14:47:11,STABLE BEAMS,6500,204979.054,199990.967,28.3,PXL
280349:5287,52:52,09/08/16 14:47:11,STABLE BEAMS,6500,189475.916,184865.093,26.2,PXL
280349:5287,53:53,09/08/16 14:47:35,STABLE BEAMS,6500,204900.404,200173.230,28.3,PXL
280349:5287,53:53,09/08/16 14:47:35,STABLE BEAMS,6500,189397.422,185027.911,26.2,PXL
